
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.4.4)

2025-08-18T00:24:24.308+05:30  WARN 53432 --- [notification-service] [ntainer#1-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-5, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:24.342+05:30  WARN 53432 --- [notification-service] [ntainer#0-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-3, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:24.360+05:30  WARN 53432 --- [notification-service] [ntainer#1-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-6, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:24.399+05:30  WARN 53432 --- [notification-service] [ntainer#0-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-2, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:24.421+05:30  WARN 53432 --- [notification-service] [vice-producer-1] org.apache.kafka.clients.NetworkClient   : [Producer clientId=notification-service-producer-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:24.424+05:30  WARN 53432 --- [notification-service] [ntainer#1-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-4, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:25.147+05:30  WARN 53432 --- [notification-service] [ntainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-1, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:25.323+05:30  WARN 53432 --- [notification-service] [ntainer#1-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-5, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:25.344+05:30  WARN 53432 --- [notification-service] [ntainer#0-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-3, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:25.361+05:30  WARN 53432 --- [notification-service] [ntainer#1-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-6, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-08-18T00:24:25.398+05:30  WARN 53432 --- [notification-service] [ntainer#1-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-4, groupId=notification-service] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
